id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_183869,CHEBI_1230,CHEBI_1230_CHEBI_183869,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_149398,CHEBI_150560,CHEBI_149398_CHEBI_150560,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_28790,CHEBI_350546,CHEBI_28790_CHEBI_350546,Protomers,Protomers,93.0
CHEBI_87105,CHEBI_87104,CHEBI_87104_CHEBI_87105,Protomers,Protomers,94.0
CHEBI_75550,CHEBI_75553,CHEBI_75550_CHEBI_75553,Enantiomers,Enantiomers,100.0
CHEBI_77498,CHEBI_77501,CHEBI_77498_CHEBI_77501,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_216941,CHEBI_204158,CHEBI_204158_CHEBI_216941,Diastereomers,Diastereomers,100.0
CHEBI_17521,CHEBI_36124,CHEBI_17521_CHEBI_36124,Enantiomers,Diastereomers,100.0
CHEBI_130255,CHEBI_129691,CHEBI_129691_CHEBI_130255,Diastereomers,Diastereomers,100.0
CHEBI_167204,CHEBI_167205,CHEBI_167204_CHEBI_167205,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_4042,CHEBI_39337,CHEBI_39337_CHEBI_4042,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_57766,CHEBI_16426,CHEBI_16426_CHEBI_57766,Protomers,Protomers,94.0
CHEBI_49097,CHEBI_18188,CHEBI_18188_CHEBI_49097,Enantiomers,Enantiomers,100.0
CHEBI_201505,CHEBI_94346,CHEBI_201505_CHEBI_94346,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_184529,CHEBI_167981,CHEBI_167981_CHEBI_184529,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_145884,CHEBI_148448,CHEBI_145884_CHEBI_148448,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_50613,CHEBI_50612,CHEBI_50612_CHEBI_50613,Enantiomers,Enantiomers,100.0
